,PCODE,Name,Municipality,n_pixels,date,monthly_total_rfh,monthly_max_rfh,monthly_avg_rfq,num_wet_dekads,spi_3,spi_6,year,return_2yr,return_5yr,return_10yr,exceeds_2yr,exceeds_5yr,exceeds_10yr
3954,GH0717,Ga West Municipal,Greater Accra,7.0,1996-02-01,74.57142900000001,41.857143,168.78018799999998,3,0.32646651021697776,1.3041375601613379,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3955,GH0717,Ga West Municipal,Greater Accra,7.0,1996-03-01,91.714287,41.57143,106.14610466666666,3,0.6531505413121906,0.8584738383640861,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3956,GH0717,Ga West Municipal,Greater Accra,7.0,1996-04-01,102.428574,42.57143,97.82519833333333,3,0.5135580681044497,0.20792171873073764,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
3957,GH0717,Ga West Municipal,Greater Accra,7.0,1996-05-01,254.85713700000002,132.14285,148.30037000000002,3,0.6337986881633305,-0.6270127080101086,1996,88.3158470289308,60.61425993203608,42.273398879264896,1,1,1
3958,GH0717,Ga West Municipal,Greater Accra,7.0,1996-06-01,147.285713,75.0,83.77192633333333,3,0.6013417022966994,-1.343098234303403,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,1,1
3959,GH0717,Ga West Municipal,Greater Accra,7.0,1996-07-01,138.0,77.42857,141.61476433333334,3,1.2564291017781317,-1.1300469813615384,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,1,1
3960,GH0717,Ga West Municipal,Greater Accra,7.0,1996-08-01,78.000002,33.57143,160.81755,3,1.016165872357002,0.023482962312861604,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3961,GH0717,Ga West Municipal,Greater Accra,7.0,1996-09-01,24.571429000000002,10.142858,41.045301,3,0.621721468408374,1.143064605803283,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3962,GH0717,Ga West Municipal,Greater Accra,7.0,1996-10-01,112.42856800000001,57.42857,77.423421,3,-0.7331658632805581,1.077361582050526,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
3963,GH0717,Ga West Municipal,Greater Accra,7.0,1996-11-01,60.571428999999995,33.142857,83.97742966666668,3,-1.2706025782314736,0.4926618666588342,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3964,GH0717,Ga West Municipal,Greater Accra,7.0,1996-12-01,26.142856,11.0,77.55880233333333,3,-1.0733507173381303,0.3234139975079244,1996,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3965,GH0717,Ga West Municipal,Greater Accra,7.0,1997-01-01,16.1428574,8.0,95.36957833333334,3,-0.39942523439409366,0.6748591054308576,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3966,GH0717,Ga West Municipal,Greater Accra,7.0,1997-02-01,13.999999899999999,7.285714,55.942281,3,-0.34599605121580046,0.7404692627509157,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3967,GH0717,Ga West Municipal,Greater Accra,7.0,1997-03-01,125.28571399999998,77.42857,134.1670366666667,3,-0.22686225469366753,0.29032219098029394,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,1,1
3968,GH0717,Ga West Municipal,Greater Accra,7.0,1997-04-01,194.57142199999998,98.28571,173.42015333333333,3,0.7460145055005206,-0.3185672057621119,1997,88.3158470289308,60.61425993203608,42.273398879264896,1,1,1
3969,GH0717,Ga West Municipal,Greater Accra,7.0,1997-05-01,195.857143,86.57143,117.01417866666668,3,1.6875609036508674,-0.9203681831297726,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,1,1
3970,GH0717,Ga West Municipal,Greater Accra,7.0,1997-06-01,316.142863,202.85715,165.78554333333332,3,3.0450970736058864,-1.327487277266453,1997,88.3158470289308,60.61425993203608,42.273398879264896,1,1,1
3971,GH0717,Ga West Municipal,Greater Accra,7.0,1997-07-01,51.857144000000005,23.857143,73.67344833333334,3,2.1500811816145293,-0.8515146078288541,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3972,GH0717,Ga West Municipal,Greater Accra,7.0,1997-08-01,19.857142,7.428571,62.66422133333333,3,1.2563308890385592,0.390914619772252,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3973,GH0717,Ga West Municipal,Greater Accra,7.0,1997-09-01,134.42857500000002,75.71429,137.02859866666668,3,-0.063787140360304,1.576918282313733,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,1,1
3974,GH0717,Ga West Municipal,Greater Accra,7.0,1997-10-01,151.0,57.142857,102.39195166666667,3,0.29272460616530654,1.5665904710739456,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
3975,GH0717,Ga West Municipal,Greater Accra,7.0,1997-11-01,86.857142,45.0,112.061975,3,0.4834931394358617,1.0381747479206982,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
3976,GH0717,Ga West Municipal,Greater Accra,7.0,1997-12-01,77.428571,41.857143,171.84822666666665,3,0.9416650338264653,0.8987552045933526,1997,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3977,GH0717,Ga West Municipal,Greater Accra,7.0,1998-01-01,13.142857,5.285714,87.84595866666666,3,0.6323954414764209,1.2065180090693695,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3978,GH0717,Ga West Municipal,Greater Accra,7.0,1998-02-01,21.285714,15.0,66.42479666666667,3,0.4456596909932238,1.3283112343088803,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3979,GH0717,Ga West Municipal,Greater Accra,7.0,1998-03-01,36.285714999999996,23.285715,50.38246,3,-0.5435244934632302,0.9312775673649553,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3980,GH0717,Ga West Municipal,Greater Accra,7.0,1998-04-01,52.571428,30.571428,55.707361999999996,3,-1.3644743230163068,0.13499688620173503,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3981,GH0717,Ga West Municipal,Greater Accra,7.0,1998-05-01,181.14285999999998,73.14286,112.52885166666665,3,-1.0728565403877484,-0.889671474450684,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,1,1
3982,GH0717,Ga West Municipal,Greater Accra,7.0,1998-06-01,170.285717,90.0,97.11868966666668,3,-1.0643961728831632,-1.886571325547737,1998,88.3158470289308,60.61425993203608,42.273398879264896,1,1,1
3983,GH0717,Ga West Municipal,Greater Accra,7.0,1998-07-01,46.142858,19.285715,63.37900166666666,3,-0.5273158215709733,-1.887710334634919,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3984,GH0717,Ga West Municipal,Greater Accra,7.0,1998-08-01,32.428571,22.0,89.511548,3,-0.8126477813167624,-0.9542273266188097,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3985,GH0717,Ga West Municipal,Greater Accra,7.0,1998-09-01,49.285714,26.0,59.78988533333333,3,-0.7783527311609322,0.09404504841722484,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3986,GH0717,Ga West Municipal,Greater Accra,7.0,1998-10-01,127.428571,63.285713,87.92903133333334,3,-0.8167789013737933,0.14282863710505347,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,1,1
3987,GH0717,Ga West Municipal,Greater Accra,7.0,1998-11-01,60.428572,22.714285,82.04852666666666,3,-0.9545330612321337,-0.24583624343273078,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3988,GH0717,Ga West Municipal,Greater Accra,7.0,1998-12-01,24.428572000000003,10.428572,73.59063833333333,3,-0.6944233451013927,-0.18195069289740448,1998,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3989,GH0717,Ga West Municipal,Greater Accra,7.0,1999-01-01,37.571429,16.571428,158.81096666666667,3,-0.3454622736933342,0.34900951990259915,1999,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3990,GH0717,Ga West Municipal,Greater Accra,7.0,1999-02-01,50.428571,29.714285,119.31372333333333,3,0.11891636696597167,0.6357975474005982,1999,88.3158470289308,60.61425993203608,42.273398879264896,0,0,0
3991,GH0717,Ga West Municipal,Greater Accra,7.0,1999-03-01,76.142858,51.142857,90.54582833333335,3,0.3341161950667478,0.402284434174831,1999,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
3992,GH0717,Ga West Municipal,Greater Accra,7.0,1999-04-01,106.428571,48.857143,101.33760333333333,3,0.17851294490108457,-0.15712672894835544,1999,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
3993,GH0717,Ga West Municipal,Greater Accra,7.0,1999-05-01,109.28571500000001,48.0,69.70016233333332,3,-0.489937157056801,-0.9499339818869688,1999,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
3994,GH0717,Ga West Municipal,Greater Accra,7.0,1999-06-01,257.99998999999997,97.42857,140.47915,3,-0.36287685357261673,-1.7207081491984424,1999,88.3158470289308,60.61425993203608,42.273398879264896,1,1,1
3995,GH0717,Ga West Municipal,Greater Accra,7.0,1999-07-01,149.285713,106.0,141.66276166666668,3,0.9830560581914497,-1.4676501623007543,1999,88.3158470289308,60.61425993203608,42.273398879264896,1,1,1
3996,GH0717,Ga West Municipal,Greater Accra,7.0,1999-08-01,78.285713,53.285713,146.07134,3,1.5706215350566588,-0.27387114557802283,1999,88.3158470289308,60.61425993203608,42.273398879264896,0,0,1
